symbol,as_of_date,weight,expected_return,sector,optimizer
CTA-PA,2022-01-31,0.050000,-0.034746,Basic Materials,sparse_qp
MRK,2022-01-31,0.050000,-0.042114,Healthcare,sparse_qp
PFE,2022-01-31,0.050000,-0.044497,Healthcare,sparse_qp
ELC,2022-01-31,0.050000,-0.055910,Utilities,sparse_qp
SPG-PJ,2022-01-31,0.050000,-0.061219,Real Estate,sparse_qp
SCHW-PD,2022-01-31,0.050000,-0.068376,Financial Services,sparse_qp
IPB,2022-01-31,0.050000,-0.069024,Financial Services,sparse_qp
CME,2022-01-31,0.050000,-0.071310,Financial Services,sparse_qp
QVCGP,2022-01-31,0.050000,-0.074372,Consumer Cyclical,sparse_qp
USB-PA,2022-01-31,0.050000,-0.074566,Financial Services,sparse_qp
HUM,2022-01-31,0.050000,-0.072795,Healthcare,sparse_qp
AZN,2022-01-31,0.050000,-0.077190,Healthcare,sparse_qp
ET-PI,2022-01-31,0.050000,-0.079731,Energy,sparse_qp
PSNY,2022-01-31,0.050000,-0.082511,Consumer Cyclical,sparse_qp
AKO-A,2022-01-31,0.050000,-0.079967,Consumer Defensive,sparse_qp
WFC-PY,2022-01-31,0.050000,-0.096123,Financial Services,sparse_qp
SUZ,2022-01-31,0.050000,-0.089727,Basic Materials,sparse_qp
ABBV,2022-01-31,0.050000,-0.091112,Healthcare,sparse_qp
WBX,2022-01-31,0.047882,-0.079611,Technology,sparse_qp
KT,2022-01-31,0.029042,-0.099750,Communication Services,sparse_qp
CPNG,2022-01-31,0.023076,-0.095583,Consumer Cyclical,sparse_qp
IPB,2022-02-28,0.050014,-0.028715,Financial Services,sparse_qp
CTA-PA,2022-02-28,0.050014,-0.042045,Basic Materials,sparse_qp
CCZ,2022-02-28,0.050014,-0.044442,Communication Services,sparse_qp
SCHW-PD,2022-02-28,0.050014,-0.050046,Financial Services,sparse_qp
SPG-PJ,2022-02-28,0.050014,-0.047622,Real Estate,sparse_qp
PCG-PA,2022-02-28,0.050014,-0.053810,Utilities,sparse_qp
ELC,2022-02-28,0.050014,-0.056016,Utilities,sparse_qp
HUM,2022-02-28,0.050014,-0.069257,Healthcare,sparse_qp
WFC-PY,2022-02-28,0.050014,-0.074089,Financial Services,sparse_qp
PSKY,2022-02-28,0.050014,-0.054112,Communication Services,sparse_qp
ZS,2022-02-28,0.050014,-0.059748,Technology,sparse_qp
MRK,2022-02-28,0.050014,-0.075741,Healthcare,sparse_qp
CME,2022-02-28,0.050014,-0.078757,Financial Services,sparse_qp
BBDO,2022-02-28,0.050014,-0.071956,Financial Services,sparse_qp
QVCGP,2022-02-28,0.050014,-0.083077,Consumer Cyclical,sparse_qp
BALL,2022-02-28,0.050014,-0.085177,Consumer Cyclical,sparse_qp
FITBP,2022-02-28,0.050014,-0.095702,Financial Services,sparse_qp
LMT,2022-02-28,0.050014,-0.096853,Industrials,sparse_qp
BAC-PB,2022-02-28,0.050014,-0.099300,Financial Services,sparse_qp
SNAP,2022-02-28,0.025737,-0.064997,Communication Services,sparse_qp
TEF,2022-02-28,0.024002,-0.096664,Communication Services,sparse_qp
CCZ,2022-03-31,0.050000,0.003682,Communication Services,sparse_qp
IPB,2022-03-31,0.050000,-0.010436,Financial Services,sparse_qp
AVAL,2022-03-31,0.050000,-0.000862,Financial Services,sparse_qp
CTA-PA,2022-03-31,0.050000,-0.029510,Basic Materials,sparse_qp
SPG-PJ,2022-03-31,0.050000,-0.041244,Real Estate,sparse_qp
PCG-PA,2022-03-31,0.050000,-0.044170,Utilities,sparse_qp
SCHW-PD,2022-03-31,0.050000,-0.046482,Financial Services,sparse_qp
ELC,2022-03-31,0.050000,-0.057877,Utilities,sparse_qp
BALL,2022-03-31,0.050000,-0.068172,Consumer Cyclical,sparse_qp
WBX,2022-03-31,0.050000,-0.050742,Technology,sparse_qp
WFC-PY,2022-03-31,0.050000,-0.076444,Financial Services,sparse_qp
EA,2022-03-31,0.050000,-0.074044,Technology,sparse_qp
MRK,2022-03-31,0.050000,-0.077816,Healthcare,sparse_qp
LMT,2022-03-31,0.050000,-0.082389,Industrials,sparse_qp
FITBP,2022-03-31,0.050000,-0.084519,Financial Services,sparse_qp
PSKY,2022-03-31,0.050000,-0.076462,Communication Services,sparse_qp
BAC-PB,2022-03-31,0.050000,-0.092096,Financial Services,sparse_qp
ET-PI,2022-03-31,0.050000,-0.091153,Energy,sparse_qp
PFE,2022-03-31,0.050000,-0.091135,Healthcare,sparse_qp
TAK,2022-03-31,0.025344,-0.095018,Healthcare,sparse_qp
HUM,2022-03-31,0.024656,-0.091563,Healthcare,sparse_qp
CCZ,2022-04-30,0.050000,0.006697,Communication Services,sparse_qp
HOLO,2022-04-30,0.050000,-0.012552,Technology,sparse_qp
IPB,2022-04-30,0.050000,-0.013521,Financial Services,sparse_qp
AVAL,2022-04-30,0.050000,-0.023014,Financial Services,sparse_qp
SCHW-PD,2022-04-30,0.050000,-0.047233,Financial Services,sparse_qp
CTA-PA,2022-04-30,0.050000,-0.052002,Basic Materials,sparse_qp
SPG-PJ,2022-04-30,0.050000,-0.058048,Real Estate,sparse_qp
ELC,2022-04-30,0.050000,-0.062979,Utilities,sparse_qp
FITBP,2022-04-30,0.050000,-0.067617,Financial Services,sparse_qp
PCG-PA,2022-04-30,0.050000,-0.070695,Utilities,sparse_qp
ET-PI,2022-04-30,0.050000,-0.072574,Energy,sparse_qp
LMT,2022-04-30,0.050000,-0.076589,Industrials,sparse_qp
CTA-PB,2022-04-30,0.050000,-0.081166,Basic Materials,sparse_qp
WBX,2022-04-30,0.050000,-0.066360,Technology,sparse_qp
C-PN,2022-04-30,0.050000,-0.091236,Financial Services,sparse_qp
BAC-PB,2022-04-30,0.050000,-0.091471,Financial Services,sparse_qp
WFC-PY,2022-04-30,0.050000,-0.091659,Financial Services,sparse_qp
TBB,2022-04-30,0.050000,-0.091702,Communication Services,sparse_qp
BALL,2022-04-30,0.050000,-0.090541,Consumer Cyclical,sparse_qp
PSKY,2022-04-30,0.050000,-0.081378,Communication Services,sparse_qp
IPB,2022-05-31,0.050000,-0.006810,Financial Services,sparse_qp
HOLO,2022-05-31,0.050000,-0.013931,Technology,sparse_qp
CCZ,2022-05-31,0.050000,-0.022820,Communication Services,sparse_qp
PCG-PB,2022-05-31,0.050000,-0.032751,Utilities,sparse_qp
AVAL,2022-05-31,0.050000,-0.052594,Financial Services,sparse_qp
SCHW-PD,2022-05-31,0.050000,-0.075887,Financial Services,sparse_qp
ET-PI,2022-05-31,0.050000,-0.074841,Energy,sparse_qp
CTA-PA,2022-05-31,0.050000,-0.075999,Basic Materials,sparse_qp
CTA-PB,2022-05-31,0.050000,-0.075955,Basic Materials,sparse_qp
SPG-PJ,2022-05-31,0.050000,-0.078259,Real Estate,sparse_qp
PSKY,2022-05-31,0.050000,-0.067530,Communication Services,sparse_qp
C-PN,2022-05-31,0.050000,-0.089875,Financial Services,sparse_qp
TBB,2022-05-31,0.050000,-0.090237,Communication Services,sparse_qp
LMT,2022-05-31,0.050000,-0.093080,Industrials,sparse_qp
ALL-PB,2022-05-31,0.050000,-0.098195,Financial Services,sparse_qp
PCG-PA,2022-05-31,0.050000,-0.100266,Utilities,sparse_qp
LHX,2022-05-31,0.050000,-0.101898,Industrials,sparse_qp
FITBP,2022-05-31,0.050000,-0.104999,Financial Services,sparse_qp
DUKB,2022-05-31,0.050000,-0.105099,Utilities,sparse_qp
AGNCM,2022-05-31,0.028216,-0.107926,Real Estate,sparse_qp
TAK,2022-05-31,0.015222,-0.108301,Healthcare,sparse_qp
SNY,2022-05-31,0.006563,-0.108741,Healthcare,sparse_qp
HOLO,2022-06-30,0.050000,-0.014335,Technology,sparse_qp
IPB,2022-06-30,0.050000,-0.020083,Financial Services,sparse_qp
CCZ,2022-06-30,0.050000,-0.035284,Communication Services,sparse_qp
PCG-PB,2022-06-30,0.050000,-0.046049,Utilities,sparse_qp
CTA-PB,2022-06-30,0.050000,-0.060684,Basic Materials,sparse_qp
CTA-PA,2022-06-30,0.050000,-0.065593,Basic Materials,sparse_qp
SPG-PJ,2022-06-30,0.050000,-0.078047,Real Estate,sparse_qp
C-PN,2022-06-30,0.050000,-0.085363,Financial Services,sparse_qp
SCHW-PD,2022-06-30,0.050000,-0.089095,Financial Services,sparse_qp
TBB,2022-06-30,0.050000,-0.094820,Communication Services,sparse_qp
ET-PI,2022-06-30,0.050000,-0.096408,Energy,sparse_qp
AVAL,2022-06-30,0.050000,-0.084073,Financial Services,sparse_qp
TAK,2022-06-30,0.050000,-0.102529,Healthcare,sparse_qp
FITBP,2022-06-30,0.050000,-0.105963,Financial Services,sparse_qp
DUKB,2022-06-30,0.050000,-0.114842,Utilities,sparse_qp
LMT,2022-06-30,0.050000,-0.116082,Industrials,sparse_qp
AKO-A,2022-06-30,0.050000,-0.109805,Consumer Defensive,sparse_qp
SNY,2022-06-30,0.050000,-0.119559,Healthcare,sparse_qp
CME,2022-06-30,0.046446,-0.119884,Financial Services,sparse_qp
AGNCP,2022-06-30,0.028165,-0.122852,Real Estate,sparse_qp
MS-PE,2022-06-30,0.025388,-0.123418,Financial Services,sparse_qp
HOLO,2022-07-31,0.050000,-0.012493,Technology,sparse_qp
IPB,2022-07-31,0.050000,-0.024605,Financial Services,sparse_qp
PCG-PB,2022-07-31,0.050000,-0.040318,Utilities,sparse_qp
CCZ,2022-07-31,0.050000,-0.044330,Communication Services,sparse_qp
CTA-PB,2022-07-31,0.050000,-0.057243,Basic Materials,sparse_qp
CTA-PA,2022-07-31,0.050000,-0.070693,Basic Materials,sparse_qp
SPG-PJ,2022-07-31,0.050000,-0.072315,Real Estate,sparse_qp
C-PN,2022-07-31,0.050000,-0.083237,Financial Services,sparse_qp
SCHW-PD,2022-07-31,0.050000,-0.085563,Financial Services,sparse_qp
AVAL,2022-07-31,0.050000,-0.078736,Financial Services,sparse_qp
TBB,2022-07-31,0.050000,-0.092471,Communication Services,sparse_qp
TAK,2022-07-31,0.050000,-0.100676,Healthcare,sparse_qp
ET-PI,2022-07-31,0.050000,-0.097626,Energy,sparse_qp
FITBP,2022-07-31,0.050000,-0.104533,Financial Services,sparse_qp
AKO-A,2022-07-31,0.050000,-0.108521,Consumer Defensive,sparse_qp
DUKB,2022-07-31,0.050000,-0.117877,Utilities,sparse_qp
LMT,2022-07-31,0.050000,-0.119544,Industrials,sparse_qp
SNY,2022-07-31,0.050000,-0.118666,Healthcare,sparse_qp
ABBV,2022-07-31,0.046062,-0.120463,Healthcare,sparse_qp
BAC-PB,2022-07-31,0.031200,-0.122322,Financial Services,sparse_qp
CME,2022-07-31,0.014559,-0.119565,Financial Services,sparse_qp
CMS-PB,2022-07-31,0.008179,-0.122055,Utilities,sparse_qp
HOLO,2022-08-31,0.050000,-0.013299,Technology,sparse_qp
PCG-PB,2022-08-31,0.050000,-0.017741,Utilities,sparse_qp
IPB,2022-08-31,0.050000,-0.021286,Financial Services,sparse_qp
CCZ,2022-08-31,0.050000,-0.050327,Communication Services,sparse_qp
CTA-PA,2022-08-31,0.050000,-0.066861,Basic Materials,sparse_qp
CTA-PB,2022-08-31,0.050000,-0.075267,Basic Materials,sparse_qp
C-PN,2022-08-31,0.050000,-0.085114,Financial Services,sparse_qp
SPG-PJ,2022-08-31,0.050000,-0.080960,Real Estate,sparse_qp
SCHW-PD,2022-08-31,0.050000,-0.088901,Financial Services,sparse_qp
AVAL,2022-08-31,0.050000,-0.076812,Financial Services,sparse_qp
TBB,2022-08-31,0.050000,-0.091606,Communication Services,sparse_qp
ET-PI,2022-08-31,0.050000,-0.090934,Energy,sparse_qp
TAK,2022-08-31,0.050000,-0.096207,Healthcare,sparse_qp
FITBP,2022-08-31,0.050000,-0.109245,Financial Services,sparse_qp
SNY,2022-08-31,0.050000,-0.114793,Healthcare,sparse_qp
DUKB,2022-08-31,0.050000,-0.118174,Utilities,sparse_qp
MS-PE,2022-08-31,0.050000,-0.118528,Financial Services,sparse_qp
AKO-A,2022-08-31,0.050000,-0.113607,Consumer Defensive,sparse_qp
BAC-PB,2022-08-31,0.038920,-0.121731,Financial Services,sparse_qp
CME,2022-08-31,0.028144,-0.119035,Financial Services,sparse_qp
BMY,2022-08-31,0.021884,-0.121314,Healthcare,sparse_qp
TLK,2022-08-31,0.011052,-0.120497,Communication Services,sparse_qp
